TH,13101,HH,M,2000-11-07T07:00:00+07:00,4.51,m     , O
TH,13101,HH,M,2000-11-08T07:00:00+07:00,4.52,m     , O
TH,13101,HH,M,2000-11-09T07:00:00+07:00,4.55,m     , O
TH,13101,HH,M,2000-11-10T07:00:00+07:00,4.53,m     , O
TH,13101,HH,M,2000-11-11T07:00:00+07:00,4.25,m     , O
TH,13101,HH,M,2000-11-12T07:00:00+07:00,4.05,m     , O
TH,13101,HH,M,2000-11-13T07:00:00+07:00,3.84,m     , O
TH,13101,HH,M,2000-11-14T07:00:00+07:00,3.75,m     , O
TH,13101,HH,M,2000-11-15T07:00:00+07:00,3.66,m     , O
TH,13101,HH,M,2000-11-16T07:00:00+07:00,3.57,m     , O
TH,13101,HH,M,2000-11-17T07:00:00+07:00,3.49,m     , O
TH,13101,HH,M,2000-11-18T07:00:00+07:00,3.42,m     , O
TH,13101,HH,M,2000-11-19T07:00:00+07:00,3.38,m     , O
TH,13101,HH,M,2000-11-20T07:00:00+07:00,3.33,m     , O
TH,13101,HH,M,2000-11-21T07:00:00+07:00,3.28,m     , O
TH,13101,HH,M,2000-11-22T07:00:00+07:00,3.24,m     , O
TH,13101,HH,M,2000-11-23T07:00:00+07:00,3.18,m     , O
TH,13101,HH,M,2000-11-24T07:00:00+07:00,3.13,m     , O
TH,13101,HH,M,2000-11-25T07:00:00+07:00,3.07,m     , O
TH,13101,HH,M,2000-11-26T07:00:00+07:00,3.03,m     , O
TH,13101,HH,M,2000-11-27T07:00:00+07:00,2.96,m     , O
TH,13101,HH,M,2000-11-28T07:00:00+07:00,2.89,m     , O
TH,13101,HH,M,2000-11-29T07:00:00+07:00,2.81,m     , O
TH,13101,HH,M,2000-11-30T07:00:00+07:00,2.76,m     , O
TH,13101,HH,M,2000-12-01T07:00:00+07:00,2.74,m     , O
TH,13101,HH,M,2000-12-02T07:00:00+07:00,2.69,m     , O
TH,13101,HH,M,2000-12-03T07:00:00+07:00,2.65,m     , O
TH,13101,HH,M,2000-12-04T07:00:00+07:00,2.61,m     , O
TH,13101,HH,M,2000-12-05T07:00:00+07:00,2.6,m     , O
TH,13101,HH,M,2000-12-06T07:00:00+07:00,2.59,m     , O
TH,13101,HH,M,2000-12-07T07:00:00+07:00,2.56,m     , O
TH,13101,HH,M,2000-12-08T07:00:00+07:00,2.55,m     , O
TH,13101,HH,M,2000-12-09T07:00:00+07:00,2.54,m     , O
TH,13101,HH,M,2000-12-10T07:00:00+07:00,2.55,m     , O
TH,13101,HH,M,2000-12-11T07:00:00+07:00,2.56,m     , O
TH,13101,HH,M,2000-12-12T07:00:00+07:00,2.57,m     , O
TH,13101,HH,M,2000-12-13T07:00:00+07:00,2.56,m     , O
TH,13101,HH,M,2000-12-14T07:00:00+07:00,2.51,m     , O
TH,13101,HH,M,2000-12-15T07:00:00+07:00,2.43,m     , O
TH,13101,HH,M,2000-12-16T07:00:00+07:00,2.38,m     , O
TH,13101,HH,M,2000-12-17T07:00:00+07:00,2.35,m     , O
TH,13101,HH,M,2000-12-18T07:00:00+07:00,2.32,m     , O
TH,13101,HH,M,2000-12-19T07:00:00+07:00,2.29,m     , O
TH,13101,HH,M,2000-12-20T07:00:00+07:00,2.31,m     , O
TH,13101,HH,M,2000-12-21T07:00:00+07:00,2.29,m     , O
TH,13101,HH,M,2000-12-22T07:00:00+07:00,2.24,m     , O
TH,13101,HH,M,2000-12-23T07:00:00+07:00,2.18,m     , O
TH,13101,HH,M,2000-12-24T07:00:00+07:00,2.15,m     , O
TH,13101,HH,M,2000-12-25T07:00:00+07:00,2.15,m     , O
TH,13101,HH,M,2000-12-26T07:00:00+07:00,2.13,m     , O
TH,13101,HH,M,2000-12-27T07:00:00+07:00,2.15,m     , O
TH,13101,HH,M,2000-12-28T07:00:00+07:00,2.1,m     , O
TH,13101,HH,M,2000-12-29T07:00:00+07:00,2.06,m     , O
TH,13101,HH,M,2000-12-30T07:00:00+07:00,2.03,m     , O
TH,13101,HH,M,2000-12-31T07:00:00+07:00,2,m     , O
TH,13101,HH,M,2001-01-01T07:00:00+07:00,1.97,m     , O
TH,13101,HH,M,2001-01-02T07:00:00+07:00,1.99,m     , O
TH,13101,HH,M,2001-01-03T07:00:00+07:00,2.01,m     , O
TH,13101,HH,M,2001-01-04T07:00:00+07:00,2.02,m     , O
TH,13101,HH,M,2001-01-05T07:00:00+07:00,1.96,m     , O
TH,13101,HH,M,2001-01-06T07:00:00+07:00,1.89,m     , O
TH,13101,HH,M,2001-01-07T07:00:00+07:00,1.81,m     , O
TH,13101,HH,M,2001-01-08T07:00:00+07:00,1.73,m     , O
TH,13101,HH,M,2001-01-09T07:00:00+07:00,1.72,m     , O
TH,13101,HH,M,2001-01-10T07:00:00+07:00,1.71,m     , O
TH,13101,HH,M,2001-01-11T07:00:00+07:00,1.7,m     , O
TH,13101,HH,M,2001-01-12T07:00:00+07:00,1.69,m     , O
