KH,120423,PH,M,2008-09-10T07:00:00+07:00,45.9,mm    , O
KH,120423,PH,M,2008-09-11T07:00:00+07:00,0,mm    , O
KH,120423,PH,M,2008-09-12T07:00:00+07:00,0,mm    , O
KH,120423,PH,M,2008-09-13T07:00:00+07:00,0,mm    , O
KH,120423,PH,M,2008-09-14T07:00:00+07:00,0,mm    , O
KH,120423,PH,M,2008-09-15T07:00:00+07:00,3.6,mm    , O
KH,120423,PH,M,2008-09-16T07:00:00+07:00,26.7,mm    , O
KH,120423,PH,M,2008-09-17T07:00:00+07:00,3.5,mm    , O
KH,120423,PH,M,2008-09-18T07:00:00+07:00,0,mm    , O
KH,120423,PH,M,2008-09-19T07:00:00+07:00,0,mm    , O
KH,120423,PH,M,2008-09-20T07:00:00+07:00,27.5,mm    , O
KH,120423,PH,M,2008-09-21T07:00:00+07:00,0,mm    , O
KH,120423,PH,M,2008-09-22T07:00:00+07:00,0,mm    , O
KH,120423,PH,M,2008-09-23T07:00:00+07:00,0,mm    , O
KH,120423,PH,M,2008-09-24T07:00:00+07:00,2.9,mm    , O
KH,120423,PH,M,2008-09-25T07:00:00+07:00,3.8,mm    , O
KH,120423,PH,M,2008-09-26T07:00:00+07:00,4.6,mm    , O
KH,120423,PH,M,2008-09-27T07:00:00+07:00,0,mm    , O
KH,120423,PH,M,2008-09-28T07:00:00+07:00,3.1,mm    , O
KH,120423,PH,M,2008-09-29T07:00:00+07:00,2.6,mm    , O
KH,120423,PH,M,2008-09-30T07:00:00+07:00,32.6,mm    , O
KH,120423,PH,M,2008-10-01T07:00:00+07:00,0,mm    , O
KH,120423,PH,M,2008-10-02T07:00:00+07:00,0,mm    , O
KH,120423,PH,M,2008-10-03T07:00:00+07:00,0,mm    , O
KH,120423,PH,M,2008-10-04T07:00:00+07:00,0,mm    , O
KH,120423,PH,M,2008-10-05T07:00:00+07:00,0,mm    , O
KH,120423,PH,M,2008-10-06T07:00:00+07:00,16.4,mm    , O
KH,120423,PH,M,2008-10-07T07:00:00+07:00,0,mm    , O
KH,120423,PH,M,2008-10-08T07:00:00+07:00,10.7,mm    , O
KH,120423,PH,M,2008-10-09T07:00:00+07:00,6.2,mm    , O
KH,120423,PH,M,2008-10-10T07:00:00+07:00,4.6,mm    , O
KH,120423,PH,M,2008-10-11T07:00:00+07:00,8.2,mm    , O
KH,120423,PH,M,2008-10-12T07:00:00+07:00,0,mm    , O
KH,120423,PH,M,2008-10-13T07:00:00+07:00,12.3,mm    , O
KH,120423,PH,M,2008-10-14T07:00:00+07:00,0,mm    , O
KH,120423,PH,M,2008-10-15T07:00:00+07:00,41.2,mm    , O
KH,120423,PH,M,2008-10-16T07:00:00+07:00,0.8,mm    , O
KH,120423,PH,M,2008-10-17T07:00:00+07:00,0.4,mm    , O
KH,120423,PH,M,2008-10-18T07:00:00+07:00,73.5,mm    , O
KH,120423,PH,M,2008-10-19T07:00:00+07:00,0,mm    , O
KH,120423,PH,M,2008-10-20T07:00:00+07:00,0,mm    , O
KH,120423,PH,M,2008-10-21T07:00:00+07:00,0.2,mm    , O
KH,120423,PH,M,2008-10-22T07:00:00+07:00,0,mm    , O
KH,120423,PH,M,2008-10-23T07:00:00+07:00,12.3,mm    , O
KH,120423,PH,M,2008-10-24T07:00:00+07:00,16.1,mm    , O
KH,120423,PH,M,2008-10-25T07:00:00+07:00,0,mm    , O
KH,120423,PH,M,2008-10-26T07:00:00+07:00,7.3,mm    , O
KH,120423,PH,M,2008-10-27T07:00:00+07:00,0,mm    , O
KH,120423,PH,M,2008-10-28T07:00:00+07:00,0,mm    , O
KH,120423,PH,M,2008-10-29T07:00:00+07:00,15.2,mm    , O
KH,120423,PH,M,2008-10-30T07:00:00+07:00,1.4,mm    , O
KH,120423,PH,M,2008-10-31T07:00:00+07:00,0.7,mm    , O
KH,120423,PH,M,2008-11-01T07:00:00+07:00,0.5,mm    , O
KH,120423,PH,M,2008-11-02T07:00:00+07:00,6.5,mm    , O
KH,120423,PH,M,2008-11-03T07:00:00+07:00,13.2,mm    , O
KH,120423,PH,M,2008-11-04T07:00:00+07:00,11.1,mm    , O
KH,120423,PH,M,2008-11-05T07:00:00+07:00,0.7,mm    , O
KH,120423,PH,M,2008-11-06T07:00:00+07:00,6.7,mm    , O
KH,120423,PH,M,2008-11-07T07:00:00+07:00,8.2,mm    , O
KH,120423,PH,M,2008-11-08T07:00:00+07:00,0,mm    , O
KH,120423,PH,M,2008-11-09T07:00:00+07:00,12.5,mm    , O
KH,120423,PH,M,2008-11-10T07:00:00+07:00,0,mm    , O
KH,120423,PH,M,2008-11-11T07:00:00+07:00,0,mm    , O
KH,120423,PH,M,2008-11-12T07:00:00+07:00,0,mm    , O
KH,120423,PH,M,2008-11-13T07:00:00+07:00,0,mm    , O
KH,120423,PH,M,2008-11-14T07:00:00+07:00,0,mm    , O
KH,120423,PH,M,2008-11-15T07:00:00+07:00,13.8,mm    , O
KH,120423,PH,M,2008-11-16T07:00:00+07:00,0,mm    , O
KH,120423,PH,M,2008-11-17T07:00:00+07:00,23.2,mm    , O
KH,120423,PH,M,2008-11-18T07:00:00+07:00,21.5,mm    , O
KH,120423,PH,M,2008-11-19T07:00:00+07:00,0,mm    , O
KH,120423,PH,M,2008-11-20T07:00:00+07:00,0,mm    , O
KH,120423,PH,M,2008-11-21T07:00:00+07:00,0,mm    , O
KH,120423,PH,M,2008-11-22T07:00:00+07:00,0,mm    , O
KH,120423,PH,M,2008-11-23T07:00:00+07:00,0,mm    , O
KH,120423,PH,M,2008-11-24T07:00:00+07:00,8.1,mm    , O
